rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
I,ZETA title,3331,CHALLENGER,1358,183,56,133,30.6,72.7,
I,fandel,kahn,CHALLENGER,1336,298,67,199,22.5,66.8,
I,ぬこ丸,JP1,CHALLENGER,1183,282,62,186,22.0,66.0,
I,なまたらこ,Roe,CHALLENGER,1128,199,52,143,26.1,71.9,
I,just feel alive,JP1,CHALLENGER,1126,248,55,166,22.2,66.9,
I,たろうのTFT大学,ゆにば,CHALLENGER,1047,289,66,184,22.8,63.7,
I,ZETA yatsuhashi,3210,CHALLENGER,837,141,40,104,28.4,73.8,
I,m1zono,5140,CHALLENGER,711,264,61,162,23.1,61.4,
I,chocotomato,JP1,CHALLENGER,697,167,37,104,22.2,62.3,
I,マクD,1910,CHALLENGER,628,309,61,184,19.7,59.5,
I,tatty,2213,CHALLENGER,611,269,38,166,14.1,61.7,
I,きじちゃん,TFT,CHALLENGER,603,222,39,137,17.6,61.7,
I,りくるす,Recls,CHALLENGER,594,240,45,151,18.8,62.9,
I,Mimosa 7,JP1,CHALLENGER,579,272,47,168,17.3,61.8,
I,タラコ兄貴,0120,CHALLENGER,575,336,59,206,17.6,61.3,1
I,bachine,JP1,CHALLENGER,564,120,26,91,21.7,75.8,-1
I,くわる,JP1,CHALLENGER,555,364,64,207,17.6,56.9,
I,たし蟹ｗ,JP1,CHALLENGER,542,145,35,90,24.1,62.1,1
I,ZETA summertimer,1230,CHALLENGER,541,105,29,82,27.6,78.1,2
I,KAITO,617,CHALLENGER,521,263,47,164,17.9,62.4,
I,pomicho,6969,CHALLENGER,513,328,45,186,13.7,56.7,1
I,高科 奈桜,JP2,CHALLENGER,500,409,63,226,15.4,55.3,-4
I,ミドリガメ,JP1,GRANDMASTER,571,207,44,122,21.3,58.9,
I,maonn,JP1,GRANDMASTER,527,279,44,152,15.8,54.5,
I,ウェザー Twitch,2563,GRANDMASTER,524,234,45,124,19.2,53.0,
I,saakiima,JP1,GRANDMASTER,516,389,63,209,16.2,53.7,3
I,みんなのよさこい琉球ファイターズ,jinbe,GRANDMASTER,510,217,37,126,17.1,58.1,-1
I,Potata,JP1,GRANDMASTER,508,266,43,155,16.2,58.3,-1
I,next777,JP1,GRANDMASTER,504,313,53,176,16.9,56.2,-1
I,riri,3390,GRANDMASTER,479,349,57,193,16.3,55.3,
I,kuronagenaihu,IKA,GRANDMASTER,469,373,62,222,16.6,59.5,
I,pipipp,5038,GRANDMASTER,454,244,43,139,17.6,57.0,3
I,約束された終末,JP1,GRANDMASTER,437,118,24,78,20.3,66.1,-1
I,uohs,9071,GRANDMASTER,436,395,52,205,13.2,51.9,-1
I,出鱈目,9952,GRANDMASTER,434,140,27,95,19.3,67.9,-1
I,coloshiya,1099,GRANDMASTER,427,254,35,158,13.8,62.2,
I,しかめまどか,JP1,GRANDMASTER,418,213,47,128,22.1,60.1,
I,kenana,7777,GRANDMASTER,415,208,34,126,16.3,60.6,
I,UMRぐらし,8056,GRANDMASTER,414,271,54,144,19.9,53.1,5
I,かをる,かをる,GRANDMASTER,412,310,51,170,16.5,54.8,-1
I,ATRI1013,JP1,GRANDMASTER,407,338,36,184,10.7,54.4,-1
I,shimapen,tft,GRANDMASTER,396,222,36,130,16.2,58.6,-1
I,tamori03,5963,GRANDMASTER,392,131,36,89,27.5,67.9,2
I,chong999,chong,GRANDMASTER,379,317,31,178,9.8,56.2,-1
I,yomi,294,GRANDMASTER,376,236,32,141,13.6,59.7,-3
I,ZETA kes,TFT,GRANDMASTER,363,257,41,156,16.0,60.7,3
I,aclon,JP1,GRANDMASTER,362,180,36,101,20.0,56.1,-1
I,coyote,2181,GRANDMASTER,331,170,31,100,18.2,58.8,
I,All Out,mayu,GRANDMASTER,326,270,39,154,14.4,57.0,1
I,wado,ouo,GRANDMASTER,313,323,57,171,17.6,52.9,2
I,アゲアゲドラゴン,JP2,GRANDMASTER,311,238,41,138,17.2,58.0,
I,あいりまにあ,銭形5,GRANDMASTER,310,352,64,201,18.2,57.1,1
I,はーれ,1344,GRANDMASTER,307,238,43,142,18.1,59.7,1
I,sinn,1119,GRANDMASTER,307,186,38,120,20.4,64.5,-7
I,Arch,syy,GRANDMASTER,304,286,50,173,17.5,60.5,
I,miro,733,GRANDMASTER,304,252,48,133,19.0,52.8,
I,MaCaronage,JP1,GRANDMASTER,299,303,48,159,15.8,52.5,
I,メガラティオス,りれたん,GRANDMASTER,297,290,45,153,15.5,52.8,
I,うに軍,JP1,GRANDMASTER,296,151,37,99,24.5,65.6,
I,新山玉,JPN,GRANDMASTER,285,281,35,164,12.5,58.4,
I,reni,noob4,GRANDMASTER,278,297,56,157,18.9,52.9,
I,Ninja of Ninjas,JP1,GRANDMASTER,276,243,37,133,15.2,54.7,
I,門前清自摸和,Tsumo,GRANDMASTER,274,259,36,145,13.9,56.0,7
I,ウーノ,uno,GRANDMASTER,273,137,21,92,15.3,67.2,-1
I,7Silky7,0821,GRANDMASTER,267,123,19,84,15.4,68.3,-1
I,サイバーシティ,0926,GRANDMASTER,264,267,66,137,24.7,51.3,
I,インターネット,kirby,GRANDMASTER,252,148,29,98,19.6,66.2,
I,bakuong,3242,GRANDMASTER,232,282,33,159,11.7,56.4,
I,黙ってかぐいろヤチを信仰せよ,8000,GRANDMASTER,227,456,47,229,10.3,50.2,
I,pkkoro ttv,なんで,GRANDMASTER,223,355,59,194,16.6,54.6,1
I,yayaya888y,5142,GRANDMASTER,220,123,17,81,13.8,65.9,1
I,キッキちゃん,JP1,GRANDMASTER,218,325,57,178,17.5,54.8,-7
I,6sIza,ohuro,GRANDMASTER,214,192,32,109,16.7,56.8,
I,ゆろたん,JP1,GRANDMASTER,208,155,21,91,13.5,58.7,
I,CN某不知名选手,0419,GRANDMASTER,208,127,32,79,25.2,62.2,
I,がなはる,JP1,GRANDMASTER,188,466,48,254,10.3,54.5,3
I,Sira,4308,GRANDMASTER,167,158,35,93,22.2,58.9,1
I,Kanda in bush,JP1,GRANDMASTER,148,210,25,122,11.9,58.1,-2
