rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1,ZETA title,3331,CHALLENGER,1358,183,56,133,30.6,72.7
2,fandel,kahn,CHALLENGER,1336,298,67,199,22.5,66.8
3,ぬこ丸,JP1,CHALLENGER,1183,282,62,186,22.0,66.0
4,なまたらこ,Roe,CHALLENGER,1128,199,52,143,26.1,71.9
5,just feel alive,JP1,CHALLENGER,1126,248,55,166,22.2,66.9
6,たろうのTFT大学,ゆにば,CHALLENGER,1047,289,66,184,22.8,63.7
7,ZETA yatsuhashi,3210,CHALLENGER,847,142,40,105,28.2,73.9
8,m1zono,5140,CHALLENGER,711,264,61,162,23.1,61.4
9,chocotomato,JP1,CHALLENGER,697,167,37,104,22.2,62.3
10,タラコ兄貴,0120,CHALLENGER,656,338,59,208,17.5,61.5
11,マクD,1910,CHALLENGER,628,309,61,184,19.7,59.5
12,Mimosa 7,JP1,CHALLENGER,613,273,47,169,17.2,61.9
13,tatty,2213,CHALLENGER,611,269,38,166,14.1,61.7
14,きじちゃん,TFT,CHALLENGER,603,222,39,137,17.6,61.7
15,りくるす,Recls,CHALLENGER,594,240,45,151,18.8,62.9
16,ZETA summertimer,1230,CHALLENGER,589,106,30,83,28.3,78.3
17,bachine,JP1,CHALLENGER,564,120,26,91,21.7,75.8
18,KAITO,617,CHALLENGER,563,264,48,165,18.2,62.5
19,くわる,JP1,CHALLENGER,555,366,64,208,17.5,56.8
20,たし蟹ｗ,JP1,CHALLENGER,542,145,35,90,24.1,62.1
21,pomicho,6969,CHALLENGER,513,328,45,186,13.7,56.7
22,高科 奈桜,JP2,CHALLENGER,500,409,63,226,15.4,55.3
23,ミドリガメ,JP1,GRANDMASTER,571,207,44,122,21.3,58.9
24,maonn,JP1,GRANDMASTER,527,279,44,152,15.8,54.5
25,ウェザー Twitch,2563,GRANDMASTER,524,234,45,124,19.2,53.0
26,みんなのよさこい琉球ファイターズ,jinbe,GRANDMASTER,510,217,37,126,17.1,58.1
27,Potata,JP1,GRANDMASTER,508,266,43,155,16.2,58.3
28,next777,JP1,GRANDMASTER,504,313,53,176,16.9,56.2
29,riri,3390,GRANDMASTER,499,350,57,194,16.3,55.4
30,saakiima,JP1,GRANDMASTER,465,390,64,209,16.4,53.6
31,kuronagenaihu,IKA,GRANDMASTER,448,374,62,222,16.6,59.4
32,pipipp,5038,GRANDMASTER,444,245,43,139,17.6,56.7
33,tamori03,5963,GRANDMASTER,439,132,38,90,28.8,68.2
34,約束された終末,JP1,GRANDMASTER,437,118,24,78,20.3,66.1
35,uohs,9071,GRANDMASTER,436,395,52,205,13.2,51.9
36,ATRI1013,JP1,GRANDMASTER,428,339,36,185,10.6,54.6
37,coloshiya,1099,GRANDMASTER,427,254,35,158,13.8,62.2
38,chong999,chong,GRANDMASTER,426,318,32,179,10.1,56.3
39,しかめまどか,JP1,GRANDMASTER,418,213,47,128,22.1,60.1
40,kenana,7777,GRANDMASTER,415,208,35,126,16.8,60.6
41,UMRぐらし,8056,GRANDMASTER,414,271,55,144,20.3,53.1
42,かをる,かをる,GRANDMASTER,412,310,51,170,16.5,54.8
43,aclon,JP1,GRANDMASTER,394,181,36,102,19.9,56.4
44,出鱈目,9952,GRANDMASTER,391,141,27,95,19.1,67.4
45,yomi,294,GRANDMASTER,376,236,32,141,13.6,59.7
46,ZETA kes,TFT,GRANDMASTER,363,257,41,156,16.0,60.7
47,shimapen,tft,GRANDMASTER,361,223,36,130,16.1,58.3
48,アゲアゲドラゴン,JP2,GRANDMASTER,344,239,41,139,17.2,58.2
49,coyote,2181,GRANDMASTER,331,170,31,100,18.2,58.8
50,All Out,mayu,GRANDMASTER,326,270,39,154,14.4,57.0
51,wado,ouo,GRANDMASTER,313,323,57,171,17.6,52.9
52,あいりまにあ,銭形5,GRANDMASTER,310,352,64,201,18.2,57.1
53,はーれ,1344,GRANDMASTER,307,238,43,142,18.1,59.7
54,miro,733,GRANDMASTER,304,252,48,133,19.0,52.8
55,MaCaronage,JP1,GRANDMASTER,299,303,48,159,15.8,52.5
56,メガラティオス,りれたん,GRANDMASTER,297,290,45,153,15.5,52.8
57,うに軍,JP1,GRANDMASTER,296,151,37,99,24.5,65.6
58,新山玉,JPN,GRANDMASTER,295,282,35,165,12.4,58.5
59,sinn,1119,GRANDMASTER,281,187,38,120,20.3,64.2
60,reni,noob4,GRANDMASTER,278,297,56,157,18.9,52.9
61,Ninja of Ninjas,JP1,GRANDMASTER,276,243,37,133,15.2,54.7
62,門前清自摸和,Tsumo,GRANDMASTER,274,259,37,145,14.3,56.0
63,ウーノ,uno,GRANDMASTER,273,137,21,92,15.3,67.2
64,7Silky7,0821,GRANDMASTER,267,123,19,84,15.4,68.3
65,Arch,syy,GRANDMASTER,264,287,50,173,17.4,60.3
66,サイバーシティ,0926,GRANDMASTER,264,267,66,137,24.7,51.3
67,インターネット,kirby,GRANDMASTER,252,148,29,98,19.6,66.2
68,bakuong,3242,GRANDMASTER,232,282,33,159,11.7,56.4
69,黙ってかぐいろヤチを信仰せよ,8000,GRANDMASTER,227,456,47,229,10.3,50.2
70,pkkoro ttv,なんで,GRANDMASTER,223,355,59,194,16.6,54.6
71,yayaya888y,5142,GRANDMASTER,220,123,17,81,13.8,65.9
72,6sIza,ohuro,GRANDMASTER,214,192,32,109,16.7,56.8
73,がなはる,JP1,GRANDMASTER,210,467,49,255,10.5,54.6
74,ゆろたん,JP1,GRANDMASTER,208,155,21,91,13.5,58.7
75,CN某不知名选手,0419,GRANDMASTER,208,127,32,79,25.2,62.2
76,キッキちゃん,JP1,GRANDMASTER,194,326,57,178,17.5,54.6
77,Kanda in bush,JP1,GRANDMASTER,192,211,26,123,12.3,58.3
78,Sira,4308,GRANDMASTER,167,158,35,93,22.2,58.9
79,ほんまごめん,JP1,GRANDMASTER,139,216,32,120,14.8,55.6
80,Sol tft,000,GRANDMASTER,131,315,44,175,14.0,55.6
81,rin,1859,GRANDMASTER,84,163,33,96,20.2,58.9
82,Itoen,JP1,MASTER,246,178,43,108,24.2,60.7
83,k1rqi,JP1,MASTER,238,383,31,207,8.1,54.0
84,azarea,JP1,MASTER,209,164,16,100,9.8,61.0
85,つきのるな,moon,MASTER,203,355,36,190,10.1,53.5
86,や む,0217,MASTER,202,142,20,89,14.1,62.7
87,ポッチャマ,Real,MASTER,198,402,57,218,14.2,54.2
88,LothricNight,JP1,MASTER,194,121,17,74,14.0,61.2
89,ドーナツ野郎,000,MASTER,193,361,52,197,14.4,54.6
90,TsukuNeJP,TTV,MASTER,166,172,29,101,16.9,58.7
91,coffeelate,JP1,MASTER,157,143,21,90,14.7,62.9
92,chiqa,o o,MASTER,156,135,24,84,17.8,62.2
93,watari4game,8027,MASTER,154,306,40,162,13.1,52.9
94,のこじん,JP1,MASTER,152,124,27,70,21.8,56.5
95,lala,1103,MASTER,149,195,27,116,13.8,59.5
96,まいける,JP1,MASTER,146,242,32,124,13.2,51.2
97,siro,4818,MASTER,143,199,25,112,12.6,56.3
98,Ashes of theStar,JP2,MASTER,142,139,29,78,20.9,56.1
99,Sivy,JP2,MASTER,142,214,41,117,19.2,54.7
100,Mizz,Zzzz,MASTER,138,276,32,154,11.6,55.8
101,ssss,4473,MASTER,137,193,34,113,17.6,58.5
102,dodeka,dode,MASTER,137,178,38,98,21.3,55.1
103,それじゃ救いに行くね世界,ぷちでび,MASTER,130,220,40,113,18.2,51.4
104,めんだこ,0101,MASTER,127,216,39,112,18.1,51.9
105,かんをん,9078,MASTER,127,442,73,216,16.5,48.9
106,shikirow,512,MASTER,126,226,29,120,12.8,53.1
107,JackSimon,1111,MASTER,126,121,23,74,19.0,61.2
108,仏陀いいよね,JP1,MASTER,123,260,33,129,12.7,49.6
109,tteru,JP1,MASTER,123,175,25,94,14.3,53.7
110,cobini,9300,MASTER,122,201,37,112,18.4,55.7
111,mikazuk1,JP1,MASTER,122,142,24,91,16.9,64.1
112,Nelly,VAL,MASTER,121,239,32,130,13.4,54.4
113,Sg chimpan Z,JP1,MASTER,116,251,41,134,16.3,53.4
114,reisu777,JP1,MASTER,116,161,26,96,16.1,59.6
115,Emteror,2362,MASTER,116,172,26,103,15.1,59.9
116,tsune,8466,MASTER,112,164,25,96,15.2,58.5
117,麦わら,123,MASTER,112,176,29,99,16.5,56.2
118,non1341,JP1,MASTER,109,220,35,115,15.9,52.3
119,Hurrry,JP1,MASTER,109,195,38,105,19.5,53.8
120,DeLaFille,JP1,MASTER,108,270,37,153,13.7,56.7
121,ながちゃまちゃまちゃまちゃま,ちゃま,MASTER,106,311,51,159,16.4,51.1
122,LOVEずっきゅん,2025,MASTER,105,168,18,97,10.7,57.7
123,くろごま,2222,MASTER,105,121,29,70,24.0,57.9
124,halkus9,4409,MASTER,105,271,30,161,11.1,59.4
125,柴犬しきちゃん,JP1,MASTER,104,110,28,68,25.5,61.8
126,ocarina,JP1,MASTER,103,331,50,168,15.1,50.8
127,lsa,136b,MASTER,102,186,27,105,14.5,56.5
128,Ignis,JP1,MASTER,101,278,35,137,12.6,49.3
129,ButeN,0116,MASTER,101,158,32,95,20.3,60.1
130,SHiRoxK,0909,MASTER,99,238,41,131,17.2,55.0
131,boby,6324,MASTER,98,212,27,123,12.7,58.0
132,悪キングカボチャンス,ART,MASTER,96,131,23,76,17.6,58.0
133,ふわふわ戦隊もちぐまん,3282,MASTER,96,90,22,60,24.4,66.7
134,rerererrrr,aaa,MASTER,95,217,24,126,11.1,58.1
135,koaji,JP1,MASTER,91,110,28,63,25.5,57.3
136,Wafuuuu,JP1,MASTER,88,240,28,132,11.7,55.0
137,篠澤広,0606,MASTER,88,160,19,99,11.9,61.9
138,Mapo,777,MASTER,88,180,30,100,16.7,55.6
139,nanoha hina,JP1,MASTER,86,196,25,113,12.8,57.7
140,hokkaito,abcd,MASTER,85,165,33,90,20.0,54.5
141,hizashi,12345,MASTER,84,217,38,118,17.5,54.4
142,ItsCaramel,crml,MASTER,82,244,45,134,18.4,54.9
143,MahyanPower,JP1,MASTER,82,296,34,159,11.5,53.7
144,Pekkle,DACK,MASTER,81,319,47,162,14.7,50.8
145,yura200,JP1,MASTER,81,154,30,86,19.5,55.8
146,ふわふわエイム,JP1,MASTER,80,113,22,71,19.5,62.8
147,torimutHL,angry,MASTER,80,242,41,132,16.9,54.5
148,OXフォード大学の劣等生,TFT,MASTER,80,254,40,140,15.7,55.1
149,かものはし,18800,MASTER,80,193,28,104,14.5,53.9
150,akari1209,JP1,MASTER,79,154,21,89,13.6,57.8
151,tktk121212,JP1,MASTER,78,226,27,121,11.9,53.5
152,ドラゴン翼,JP1,MASTER,77,195,37,109,19.0,55.9
153,kantelio,fna9,MASTER,77,124,24,78,19.4,62.9
154,暗めのいぶりん,L3NS,MASTER,77,119,22,72,18.5,60.5
155,神奈川,9090,MASTER,76,330,52,170,15.8,51.5
156,gufu,5098,MASTER,76,96,32,67,33.3,69.8
157,Ap0LLon,JP1,MASTER,75,220,32,117,14.5,53.2
158,sobachin,3150,MASTER,75,304,51,142,16.8,46.7
159,aikosuki,JP1,MASTER,74,242,50,136,20.7,56.2
160,桐谷melee,JP1,MASTER,72,244,28,134,11.5,54.9
161,shoyu34,JP1,MASTER,72,181,32,98,17.7,54.1
162,nemuleaf,ref,MASTER,72,307,35,154,11.4,50.2
163,神の左手悪魔の右手,2581,MASTER,70,150,23,97,15.3,64.7
164,deky,001,MASTER,70,186,37,106,19.9,57.0
165,Lotuslight,6656,MASTER,69,312,48,168,15.4,53.8
166,ZPM,0877,MASTER,69,226,36,111,15.9,49.1
167,はえー,haeee,MASTER,68,98,20,67,20.4,68.4
168,buruzuai,JP1,MASTER,68,396,39,208,9.8,52.5
169,Japanese Leduck,JAL,MASTER,67,184,34,97,18.5,52.7
170,たなってぃ,8443,MASTER,65,203,44,108,21.7,53.2
171,sugarless,6547,MASTER,64,166,24,93,14.5,56.0
172,koto神,0904,MASTER,64,131,17,80,13.0,61.1
173,ElectricCallboy,9957,MASTER,63,211,23,118,10.9,55.9
174,RubyArs,5956,MASTER,63,246,36,130,14.6,52.8
175,ぴかぴかまゆげ計画,からあげ,MASTER,63,234,32,132,13.7,56.4
176,clock,9680,MASTER,62,327,42,173,12.8,52.9
177,tsuchinoto,9804,MASTER,62,181,18,104,9.9,57.5
178,クワトロバジーナ,100,MASTER,62,262,42,127,16.0,48.5
179,Gran,1569,MASTER,61,181,17,105,9.4,58.0
180,zaaki512,2693,MASTER,61,186,24,101,12.9,54.3
181,お昼はカレー,7821,MASTER,61,268,35,145,13.1,54.1
182,Siff,9864,MASTER,59,191,31,104,16.2,54.5
183,dowao,89165,MASTER,56,220,31,107,14.1,48.6
184,rym,CCC,MASTER,55,250,32,139,12.8,55.6
185,taakkutan,385,MASTER,55,100,21,66,21.0,66.0
186,ひかまに,0000,MASTER,54,279,40,155,14.3,55.6
187,Tawara,JP1,MASTER,53,144,20,87,13.9,60.4
188,ブランゴ,2425,MASTER,53,254,29,132,11.4,52.0
