rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
I,VIT setsuko,NA2,CHALLENGER,1706,216,59,163,27.3,75.5,
I,ACAD wasian,NA2,CHALLENGER,1561,237,75,162,31.6,68.4,
I,ACAD Dishsoap,NA3,CHALLENGER,1204,234,46,161,19.7,68.8,
I,VIT prestivent,123,CHALLENGER,1125,376,71,217,18.9,57.7,
I,IronBog,999,CHALLENGER,1101,209,49,143,23.4,68.4,
I,Upsetmax,NA2,CHALLENGER,1089,220,43,137,19.5,62.3,1
I,YBY1,YBY2,CHALLENGER,1080,207,48,141,23.2,68.1,-1
I,META Spencer,TFT,CHALLENGER,1027,287,55,176,19.2,61.3,
I,Ripple Overdrive,NA1,CHALLENGER,1012,192,45,131,23.4,68.2,1
I,CTG dankmemes01,001,CHALLENGER,994,193,44,126,22.8,65.3,-1
I,CTG Kaiweng,CTG,CHALLENGER,950,268,55,165,20.5,61.6,1
I,G2 Double,NA11,CHALLENGER,934,200,48,126,24.0,63.0,1
I,grea,melt,CHALLENGER,932,272,49,162,18.0,59.6,1
I,FNC Filup,TFT,CHALLENGER,930,201,53,130,26.4,64.7,1
I,ArtixRx,che,CHALLENGER,925,260,44,162,16.9,62.3,-4
I,milala,milal,CHALLENGER,909,145,30,97,20.7,66.9,
I,Stellar Minhee,wasdq,CHALLENGER,888,136,32,91,23.5,66.9,
I,149cm,149,CHALLENGER,860,297,55,181,18.5,60.9,3
I,EricWei,1412,CHALLENGER,852,233,52,138,22.3,59.2,-1
I,junglebook1,NA1,CHALLENGER,834,218,41,131,18.8,60.1,2
I,gregsweakestchud,LARP,CHALLENGER,830,295,54,168,18.3,56.9,-2
I,Broseph,LAB,CHALLENGER,774,189,33,120,17.5,63.5,1
I,jcuuub,NA2,CHALLENGER,773,193,33,122,17.1,63.2,1
I,datatft99,4220,CHALLENGER,767,158,41,100,25.9,63.3,-4
I,spethom,him,CHALLENGER,741,313,41,183,13.1,58.5,2
I,silencer142,NA1,CHALLENGER,726,421,60,243,14.3,57.7,-1
I,asdfga,aha,CHALLENGER,725,283,31,167,11.0,59.0,-1
I,Dono,77244,CHALLENGER,721,274,43,151,15.7,55.1,
I,robivankenob,NA1,CHALLENGER,713,226,37,139,16.4,61.5,
I,shoma,INT1,CHALLENGER,712,349,54,202,15.5,57.9,6
I,CTG Marcel P,NA2,CHALLENGER,707,269,48,169,17.8,62.8,-1
I,rita,bbt,CHALLENGER,707,259,46,155,17.8,59.8,-1
I,Kurumx,FREAK,CHALLENGER,703,295,51,179,17.3,60.7,-1
I,kbaobao,HKG,CHALLENGER,700,190,45,112,23.7,58.9,-1
I,Hanneko,TFTQC,CHALLENGER,698,275,41,153,14.9,55.6,-1
I,Neonify,NA1,CHALLENGER,697,243,35,140,14.4,57.6,-1
I,panche3e,plink,CHALLENGER,656,153,25,97,16.3,63.4,
I,Cool Guy Dom,dom,CHALLENGER,642,209,26,137,12.4,65.6,
I,Xnieamo,NA1,CHALLENGER,640,217,48,127,22.1,58.5,
I,Phoenixaa,159,CHALLENGER,638,268,53,150,19.8,56.0,6
I,Kamila Valieva,1919,CHALLENGER,627,224,38,132,17.0,58.9,-1
I,Kahdei,OCE1,CHALLENGER,623,295,60,168,20.3,56.9,-1
I,metzauh,1767,CHALLENGER,590,372,56,199,15.1,53.5,1
I,XMURUK,039,CHALLENGER,589,196,42,117,21.4,59.7,3
I,ROC me1stor8th,NA2,CHALLENGER,587,188,28,114,14.9,60.6,
I,Ashemoo,XDD,CHALLENGER,587,156,35,98,22.4,62.8,-3
I,WutPu,moc,CHALLENGER,576,205,35,123,17.1,60.0,2
I,Cambulee,tft,CHALLENGER,574,202,34,132,16.8,65.3,2
I,FL Chunington,intt,CHALLENGER,573,231,39,134,16.9,58.0,2
I,Degree,NA2,CHALLENGER,571,189,30,112,15.9,59.3,2
I,jeddi,YER,CHALLENGER,568,277,30,163,10.8,58.8,2
I,Jjchen101,101,CHALLENGER,567,220,35,132,15.9,60.0,2
I,JukeYou,NA1,CHALLENGER,565,223,46,126,20.6,56.5,2
I,imriveting,NA1,CHALLENGER,562,255,41,154,16.1,60.4,2
I,Protect Scroll,NA2,CHALLENGER,559,341,63,182,18.5,53.4,2
I,CTG Souless,001,CHALLENGER,558,221,38,133,17.2,60.2,-8
I,auqaa,NA1,CHALLENGER,552,426,65,215,15.3,50.5,-15
I,Luqun,NA1,CHALLENGER,541,141,27,94,19.1,66.7,
I,CrazyCat,Kitty,CHALLENGER,536,195,43,108,22.1,55.4,
I,TLeyds,LQD,CHALLENGER,535,293,43,159,14.7,54.3,
I,afkdrew,9257,CHALLENGER,530,282,51,158,18.1,56.0,
I,CTG emilyywang,1111,CHALLENGER,529,294,49,165,16.7,56.1,
I,Opening Night,9156,CHALLENGER,526,240,45,134,18.8,55.8,
I,Eggo,093,CHALLENGER,516,301,57,162,18.9,53.8,
I,MeNoHaxor,NA1,CHALLENGER,513,235,42,130,17.9,55.3,
I,adcSin,hello,CHALLENGER,513,164,42,98,25.6,59.8,
I,MAIKEL,2892,CHALLENGER,512,160,25,107,15.6,66.9,
I,DavidAce,TFTQC,CHALLENGER,511,135,28,93,20.7,68.9,
I,Micco,11111,CHALLENGER,509,271,43,147,15.9,54.2,
I,Shabamoon,0954,CHALLENGER,508,109,29,71,26.6,65.1,
I,Kiyoon,NA2,GRANDMASTER,487,335,64,187,19.1,55.8,1
I,Chuyen2311,NA1,GRANDMASTER,485,243,38,135,15.6,55.6,1
I,CTG robinsongz,888,GRANDMASTER,483,198,39,118,19.7,59.6,1
I,VP k1an,LHPA,GRANDMASTER,483,246,51,142,20.7,57.7,1
I,Darth Nub,NA2,GRANDMASTER,477,273,63,156,23.1,57.1,-4
I,dpei,NA1,GRANDMASTER,475,236,46,143,19.5,60.6,
I,IceCreamStore,NA1,GRANDMASTER,472,89,25,68,28.1,76.4,
I,LC Laharl,3836,GRANDMASTER,462,238,31,140,13.0,58.8,
I,Coils,HiQT,GRANDMASTER,455,236,37,133,15.7,56.4,
I,Jaway,wuwei,GRANDMASTER,454,211,35,128,16.6,60.7,6
I,MJS Deleted,NA2,GRANDMASTER,453,264,48,154,18.2,58.3,-1
I,bopster,PMD,GRANDMASTER,443,254,44,145,17.3,57.1,-1
I,Dino0228,NA1,GRANDMASTER,441,355,45,201,12.7,56.6,2
I,VIT Milk,NA2,GRANDMASTER,437,175,33,106,18.9,60.6,-2
I,Korneli,Korn,GRANDMASTER,435,227,50,126,22.0,55.5,-2
I,Hopefully,chae,GRANDMASTER,433,255,49,142,19.2,55.7,-2
I,Dasxly,TTV,GRANDMASTER,429,229,39,134,17.0,58.5,
I,FW AQ1H,6406,GRANDMASTER,428,132,26,90,19.7,68.2,
I,Cottontail,NA1,GRANDMASTER,421,339,47,178,13.9,52.5,
I,Pun,TFT,GRANDMASTER,417,146,24,97,16.4,66.4,
I,neighborhoodnunu,neigh,GRANDMASTER,415,205,33,116,16.1,56.6,
I,Dreynox,NA1,GRANDMASTER,410,235,35,142,14.9,60.4,10
I,ROC JazLatte,latte,GRANDMASTER,405,147,41,93,27.9,63.3,-1
I,LadderSlayer,NA1,GRANDMASTER,403,116,25,77,21.6,66.4,
I,Ariz,inNA,GRANDMASTER,402,145,24,89,16.6,61.4,
I,Vuo,NA1,GRANDMASTER,396,312,34,169,10.9,54.2,
I,Mean Mister Kien,NA1,GRANDMASTER,395,308,39,171,12.7,55.5,
I,Nuge,PMD1,GRANDMASTER,392,149,30,96,20.1,64.4,1
I,evernight,花 火,GRANDMASTER,388,326,42,179,12.9,54.9,1
I,Anx,TWICE,GRANDMASTER,382,341,60,175,17.6,51.3,1
I,El Vini,NA1,GRANDMASTER,379,315,57,168,18.1,53.3,2
I,popdragonquest,NA1,GRANDMASTER,379,200,42,116,21.0,58.0,2
I,paprika,lemon,GRANDMASTER,375,178,45,99,25.3,55.6,2
I,Plumper,TFTNA,GRANDMASTER,374,242,37,130,15.3,53.7,-6
I,m0tiv,xdd,GRANDMASTER,373,115,24,79,20.9,68.7,1
I,mein,pengu,GRANDMASTER,371,231,30,131,13.0,56.7,1
I,shanghai,CN1,GRANDMASTER,371,328,48,177,14.6,54.0,-14
I,rety,0530,GRANDMASTER,370,202,27,116,13.4,57.4,
I,ZT DthDiogo,NA05,GRANDMASTER,369,215,29,124,13.5,57.7,
I,hazy,supd,GRANDMASTER,362,217,25,129,11.5,59.4,1
I,Monstrata,NA1,GRANDMASTER,362,185,38,107,20.5,57.8,1
I,dallasyes,NA1,GRANDMASTER,358,263,36,141,13.7,53.6,1
I,TTV thekrayc,NA1,GRANDMASTER,354,396,42,204,10.6,51.5,1
I,Msian Emilywang,emo,GRANDMASTER,353,144,37,90,25.7,62.5,-4
I,Nik,0283,GRANDMASTER,348,333,22,193,6.6,58.0,
I,FlowerDance,0719,GRANDMASTER,346,118,31,72,26.3,61.0,
I,mori jp1,NA1,GRANDMASTER,345,116,32,73,27.6,62.9,9
I,Preformance,NA1,GRANDMASTER,344,209,23,117,11.0,56.0,-1
I,ClearloveCy,NA1,GRANDMASTER,340,199,39,106,19.6,53.3,1
I,Laplace,lplc5,GRANDMASTER,340,209,33,127,15.8,60.8,1
I,slicedown,meow,GRANDMASTER,338,212,33,127,15.6,59.9,1
I,VIT k3soju,000,GRANDMASTER,333,334,55,184,16.5,55.1,1
I,4kaden,pee,GRANDMASTER,333,238,33,137,13.9,57.6,1
I,meimei,kay,GRANDMASTER,328,182,27,105,14.8,57.7,1
I,ralphie,maha,GRANDMASTER,325,235,40,141,17.0,60.0,-6
I,newjons,115,GRANDMASTER,320,181,33,102,18.2,56.4,1
I,LC Abyss,CAPO,GRANDMASTER,320,187,26,112,13.9,59.9,1
I,ROC Lilbear,1122,GRANDMASTER,319,180,31,104,17.2,57.8,1
I,Rice Shower,TTA,GRANDMASTER,317,437,61,221,14.0,50.6,1
I,NinjaTDA,AKTDA,GRANDMASTER,313,298,39,163,13.1,54.7,1
I,Sungster,Chud,GRANDMASTER,310,148,25,88,16.9,59.5,1
I,Rainbowologist,lmc,GRANDMASTER,303,101,33,66,32.7,65.3,-14
I,NotEnoughForYou,CFC,GRANDMASTER,300,264,33,146,12.5,55.3,
I,弈梦 小飞,2025,GRANDMASTER,299,169,36,98,21.3,58.0,
I,TLG Jianglin,1215,GRANDMASTER,297,134,27,86,20.1,64.2,5
I,wigwugg,111,GRANDMASTER,295,157,28,92,17.8,58.6,-1
I,Guario,NA1,GRANDMASTER,292,185,35,104,18.9,56.2,-1
I,Atesgety,NA1,GRANDMASTER,291,231,31,129,13.4,55.8,-1
I,ZT ChaKram,ztlyy,GRANDMASTER,289,193,39,112,20.2,58.0,-1
I,Kitchen Utensils,NA1,GRANDMASTER,287,154,23,90,14.9,58.4,-1
I,IBlocks,0415,GRANDMASTER,286,358,26,196,7.3,54.7,
I,Bruhbruhbruh WHO,NA1,GRANDMASTER,285,185,42,108,22.7,58.4,
I,central ceemen,2222,GRANDMASTER,284,275,29,148,10.5,53.8,1
I,Atad,NA1,GRANDMASTER,283,226,36,136,15.9,60.2,1
I,ZomBmu,NA1,GRANDMASTER,283,183,24,104,13.1,56.8,1
I,Ceiling,TRM,GRANDMASTER,282,241,32,139,13.3,57.7,1
I,FIVEHEADiQ,NA1,GRANDMASTER,280,313,42,162,13.4,51.8,1
I,wilf,011,GRANDMASTER,279,179,30,101,16.8,56.4,1
I,ちいかわ,3210,GRANDMASTER,278,193,38,109,19.7,56.5,1
I,xsxsssxsx,NA1,GRANDMASTER,277,411,64,203,15.6,49.4,10
I,J or C,NA1,GRANDMASTER,276,195,30,110,15.4,56.4,
I,Folly,247,GRANDMASTER,275,227,42,125,18.5,55.1,
I,syz fanboy 2,jials,GRANDMASTER,274,292,35,162,12.0,55.5,41
I,VN soles,9792,GRANDMASTER,273,158,29,99,18.4,62.7,-1
I,mali QAQ,Ornn,GRANDMASTER,272,128,21,80,16.4,62.5,-1
I,mitri,ems,GRANDMASTER,270,333,49,177,14.7,53.2,-1
