rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1,VIT setsuko,NA2,CHALLENGER,1706,216,59,163,27.3,75.5
2,ACAD wasian,NA2,CHALLENGER,1561,237,75,162,31.6,68.4
3,ACAD Dishsoap,NA3,CHALLENGER,1204,234,46,161,19.7,68.8
4,Upsetmax,NA2,CHALLENGER,1134,221,44,138,19.9,62.4
5,VIT prestivent,123,CHALLENGER,1125,376,71,217,18.9,57.7
6,IronBog,999,CHALLENGER,1101,209,49,143,23.4,68.4
7,YBY1,YBY2,CHALLENGER,1080,207,48,141,23.2,68.1
8,Ripple Overdrive,NA1,CHALLENGER,1043,193,45,132,23.3,68.4
9,META Spencer,TFT,CHALLENGER,1027,287,55,176,19.2,61.3
10,CTG Kaiweng,CTG,CHALLENGER,994,269,56,166,20.8,61.7
11,CTG dankmemes01,001,CHALLENGER,979,194,44,126,22.7,64.9
12,ArtixRx,che,CHALLENGER,954,261,44,163,16.9,62.5
13,G2 Double,NA11,CHALLENGER,934,200,48,126,24.0,63.0
14,grea,melt,CHALLENGER,932,272,49,162,18.0,59.6
15,FNC Filup,TFT,CHALLENGER,930,201,53,130,26.4,64.7
16,milala,milal,CHALLENGER,909,145,30,97,20.7,66.9
17,149cm,149,CHALLENGER,889,298,56,182,18.8,61.1
18,Stellar Minhee,wasdq,CHALLENGER,888,136,32,91,23.5,66.9
19,EricWei,1412,CHALLENGER,852,233,52,138,22.3,59.2
20,junglebook1,NA1,CHALLENGER,834,218,41,131,18.8,60.1
21,datatft99,4220,CHALLENGER,786,159,41,101,25.8,63.5
22,Broseph,LAB,CHALLENGER,774,189,33,120,17.5,63.5
23,jcuuub,NA2,CHALLENGER,773,193,33,122,17.1,63.2
24,spethom,him,CHALLENGER,741,313,41,183,13.1,58.5
25,silencer142,NA1,CHALLENGER,726,421,60,243,14.3,57.7
26,gregsweakestchud,LARP,CHALLENGER,725,297,54,168,18.2,56.6
27,asdfga,aha,CHALLENGER,725,283,31,167,11.0,59.0
28,Dono,77244,CHALLENGER,721,274,43,151,15.7,55.1
29,robivankenob,NA1,CHALLENGER,713,226,37,139,16.4,61.5
30,shoma,INT1,CHALLENGER,712,349,54,202,15.5,57.9
31,CTG Marcel P,NA2,CHALLENGER,707,269,48,169,17.8,62.8
32,rita,bbt,CHALLENGER,707,259,46,155,17.8,59.8
33,Kurumx,FREAK,CHALLENGER,703,295,51,179,17.3,60.7
34,kbaobao,HKG,CHALLENGER,700,190,45,112,23.7,58.9
35,Hanneko,TFTQC,CHALLENGER,698,275,41,153,14.9,55.6
36,Neonify,NA1,CHALLENGER,697,243,35,140,14.4,57.6
37,panche3e,plink,CHALLENGER,656,153,25,97,16.3,63.4
38,Cool Guy Dom,dom,CHALLENGER,642,209,26,137,12.4,65.6
39,Xnieamo,NA1,CHALLENGER,640,217,48,127,22.1,58.5
40,FL Chunington,intt,CHALLENGER,640,233,40,136,17.2,58.4
41,Phoenixaa,159,CHALLENGER,638,268,53,150,19.8,56.0
42,Kamila Valieva,1919,CHALLENGER,627,224,38,132,17.0,58.9
43,Kahdei,OCE1,CHALLENGER,623,295,60,168,20.3,56.9
44,metzauh,1767,CHALLENGER,590,372,56,199,15.1,53.5
45,ROC me1stor8th,NA2,CHALLENGER,587,188,28,114,14.9,60.6
46,XMURUK,039,CHALLENGER,576,197,42,117,21.3,59.4
47,WutPu,moc,CHALLENGER,576,205,35,123,17.1,60.0
48,Cambulee,tft,CHALLENGER,574,202,34,132,16.8,65.3
49,Degree,NA2,CHALLENGER,571,189,30,112,15.9,59.3
50,auqaa,NA1,CHALLENGER,570,427,65,216,15.2,50.6
51,CTG Souless,001,CHALLENGER,568,222,38,134,17.1,60.4
52,jeddi,YER,CHALLENGER,568,277,30,163,10.8,58.8
53,Jjchen101,101,CHALLENGER,567,220,35,132,15.9,60.0
54,JukeYou,NA1,CHALLENGER,565,223,46,126,20.6,56.5
55,Protect Scroll,NA2,CHALLENGER,559,341,63,182,18.5,53.4
56,Ashemoo,XDD,CHALLENGER,550,157,35,98,22.3,62.4
57,imriveting,NA1,CHALLENGER,541,256,41,154,16.0,60.2
58,Luqun,NA1,CHALLENGER,541,141,27,94,19.1,66.7
59,CrazyCat,Kitty,CHALLENGER,536,195,43,108,22.1,55.4
60,TLeyds,LQD,CHALLENGER,535,293,43,159,14.7,54.3
61,afkdrew,9257,CHALLENGER,530,282,51,158,18.1,56.0
62,CTG emilyywang,1111,CHALLENGER,529,294,49,165,16.7,56.1
63,Opening Night,9156,CHALLENGER,526,240,45,134,18.8,55.8
64,Eggo,093,CHALLENGER,516,301,57,162,18.9,53.8
65,MeNoHaxor,NA1,CHALLENGER,513,235,42,130,17.9,55.3
66,adcSin,hello,CHALLENGER,513,164,42,98,25.6,59.8
67,MAIKEL,2892,CHALLENGER,512,160,25,107,15.6,66.9
68,DavidAce,TFTQC,CHALLENGER,511,135,28,93,20.7,68.9
69,Micco,11111,CHALLENGER,509,271,43,147,15.9,54.2
70,Shabamoon,0954,CHALLENGER,508,109,29,71,26.6,65.1
71,Kiyoon,NA2,GRANDMASTER,487,335,64,187,19.1,55.8
72,CTG robinsongz,888,GRANDMASTER,483,198,39,118,19.7,59.6
73,VP k1an,LHPA,GRANDMASTER,483,246,51,142,20.7,57.7
74,ROC JazLatte,latte,GRANDMASTER,476,149,41,95,27.5,63.8
75,dpei,NA1,GRANDMASTER,475,236,46,143,19.5,60.6
76,IceCreamStore,NA1,GRANDMASTER,472,89,25,68,28.1,76.4
77,LC Laharl,3836,GRANDMASTER,462,238,31,140,13.0,58.8
78,Coils,HiQT,GRANDMASTER,455,236,37,133,15.7,56.4
79,Jaway,wuwei,GRANDMASTER,454,211,35,128,16.6,60.7
80,MJS Deleted,NA2,GRANDMASTER,453,264,48,154,18.2,58.3
81,bopster,PMD,GRANDMASTER,443,254,44,145,17.3,57.1
82,Darth Nub,NA2,GRANDMASTER,442,274,63,156,23.0,56.9
83,Cottontail,NA1,GRANDMASTER,441,340,47,179,13.8,52.6
84,VIT Milk,NA2,GRANDMASTER,437,175,33,106,18.9,60.6
85,Chuyen2311,NA1,GRANDMASTER,437,244,38,135,15.6,55.3
86,Korneli,Korn,GRANDMASTER,435,227,50,126,22.0,55.5
87,Hopefully,chae,GRANDMASTER,433,255,49,142,19.2,55.7
88,Dasxly,TTV,GRANDMASTER,429,229,39,134,17.0,58.5
89,FW AQ1H,6406,GRANDMASTER,428,132,26,90,19.7,68.2
90,Pun,TFT,GRANDMASTER,417,146,24,97,16.4,66.4
91,m0tiv,xdd,GRANDMASTER,417,117,24,81,20.5,69.2
92,neighborhoodnunu,neigh,GRANDMASTER,415,205,33,116,16.1,56.6
93,Dreynox,NA1,GRANDMASTER,410,235,35,142,14.9,60.4
94,mori jp1,NA1,GRANDMASTER,407,118,33,75,28.0,63.6
95,LadderSlayer,NA1,GRANDMASTER,403,116,25,77,21.6,66.4
96,Ariz,inNA,GRANDMASTER,402,145,24,89,16.6,61.4
97,Vuo,NA1,GRANDMASTER,396,312,34,169,10.9,54.2
98,Mean Mister Kien,NA1,GRANDMASTER,395,308,39,171,12.7,55.5
99,Dino0228,NA1,GRANDMASTER,392,356,45,201,12.6,56.5
100,Nuge,PMD1,GRANDMASTER,392,149,30,96,20.1,64.4
